tempo,altura
11,0.288
11.04,0.288
11.08,0.288
11.12,0.287
11.16,0.287
11.2,0.286
11.24,0.285
11.28,0.284
11.32,0.284
11.36,0.283
11.4,0.281
11.44,0.28
11.48,0.28
11.52,0.279
11.56,0.278
11.6,0.277
11.64,0.275
11.68,0.273
11.72,0.272
11.76,0.27
11.8,0.268
11.84,0.267
11.88,0.265
11.92,0.264
11.96,0.261
12,0.259
12.04,0.256
12.08,0.254
12.12,0.252
12.16,0.25
12.2,0.248
12.24,0.245
12.28,0.241
12.32,0.238
12.36,0.235
12.4,0.233
12.44,0.23
12.48,0.227
12.52,0.224
12.56,0.22
12.6,0.218
12.64,0.214
12.68,0.21
12.72,0.207
12.76,0.204
12.8,0.199
12.84,0.196
12.88,0.192
12.92,0.187
12.96,0.184
13,0.18
13.04,0.176
13.08,0.171
13.12,0.168
13.16,0.163
13.2,0.158
13.24,0.154
13.28,0.149
13.32,0.145
13.36,0.14
13.4,0.135
13.44,0.13
13.48,0.126
13.52,0.121
13.56,0.115
13.6,0.11
13.64,0.104
13.68,0.09898
13.72,0.09404
13.76,0.09006
13.8,0.08526
13.84,0.07662
13.88,0.07058
13.92,0.06413
13.96,0.05865
14,0.05467
14.04,0.04754
14.08,0.04081
14.12,0.03478
14.16,0.02847
14.2,0.02257
14.24,0.01571
14.28,0.004597
14.32,0.002951
14.36,-0.0003415
14.4,0.001168
14.44,0.001991
14.48,0.001579
