tempo,altura
9.76,0.16
9.8,0.159
9.84,0.159
9.88,0.159
9.92,0.159
9.96,0.159
10,0.159
10.04,0.159
10.08,0.159
10.12,0.159
10.16,0.159
10.2,0.159
10.24,0.159
10.28,0.159
10.32,0.159
10.36,0.158
10.4,0.158
10.44,0.158
10.48,0.157
10.52,0.156
10.56,0.155
10.6,0.155
10.64,0.154
10.68,0.153
10.72,0.152
10.76,0.151
10.8,0.15
10.84,0.149
10.88,0.148
10.92,0.146
10.96,0.146
11,0.145
11.04,0.143
11.08,0.142
11.12,0.141
11.16,0.14
11.2,0.139
11.24,0.138
11.28,0.136
11.32,0.135
11.36,0.134
11.4,0.132
11.44,0.129
11.48,0.127
11.52,0.126
11.56,0.124
11.6,0.122
11.64,0.12
11.68,0.117
11.72,0.116
11.76,0.113
11.8,0.112
11.84,0.11
11.88,0.108
11.92,0.106
11.96,0.104
12,0.102
12.04,0.09864
12.08,0.09604
12.12,0.09333
12.16,0.09093
12.2,0.08728
12.24,0.08405
12.28,0.08072
12.32,0.07801
12.36,0.0753
12.4,0.07228
12.44,0.06811
12.48,0.06488
12.52,0.06258
12.56,0.05894
12.6,0.05685
12.64,0.05321
12.68,0.05175
12.72,0.04716
12.76,0.04466
12.8,0.04091
12.84,0.03757
12.88,0.03351
12.92,0.02944
12.96,0.02528
13,0.02184
13.04,0.0184
13.08,0.01433
13.12,0.01027
13.16,0.001933
13.2,0.0001
13.24,0.0006823
13.28,0.0001612
13.32,0.0002888
13.36,0.0002888
