"frequency (Hz)","audio amplitude (a.u.)"
2.000000000E2,3.388374184E-1
2.100000000E2,1.160871263E-1
2.200000000E2,1.941081405E-1
2.300000000E2,2.698807331E-1
2.400000000E2,3.123483143E-1
2.500000000E2,3.684958707E-1
2.600000000E2,3.091427122E-1
2.700000000E2,2.428316716E-1
2.800000000E2,2.591153906E-1
2.900000000E2,1.371246795E-1
3.000000000E2,1.209104330E-1
3.100000000E2,1.605327870E-1
3.200000000E2,3.053109157E-1
3.300000000E2,3.483724190E-1
3.400000000E2,3.715261891E-1
3.500000000E2,3.781420901E-1
3.600000000E2,3.117651479E-1
3.700000000E2,2.466724950E-1
3.800000000E2,1.991247615E-1
3.900000000E2,1.323241572E-1
4.000000000E2,1.268447840E-1
4.100000000E2,2.635253865E-1
4.200000000E2,3.053926787E-1
4.300000000E2,6.272298046E-1
4.400000000E2,7.489572167E-1
4.500000000E2,3.603528633E-1
4.600000000E2,2.724842692E-1
4.700000000E2,2.351385353E-1
4.800000000E2,1.526882382E-1
4.900000000E2,2.999432783E-1
5.000000000E2,3.788387088E-1
5.100000000E2,4.442843843E-1
5.200000000E2,4.487954032E-1
5.300000000E2,3.872556498E-1
5.400000000E2,4.481264185E-1
5.500000000E2,2.395503185E-1
5.600000000E2,2.491310470E-1
5.700000000E2,3.432301102E-1
5.800000000E2,4.439357690E-1
5.900000000E2,5.380392469E-1
6.000000000E2,5.425932536E-1
6.100000000E2,5.007559471E-1
6.200000000E2,4.890498807E-1
6.300000000E2,4.003061336E-1
6.400000000E2,1.746588613E-1
6.500000000E2,1.372503859E-1
6.600000000E2,1.357589513E-1
6.700000000E2,1.447949895E-1
6.800000000E2,3.744686095E-1
6.900000000E2,4.356557789E-1
7.000000000E2,2.653125620E-1
7.100000000E2,4.617044058E-1
7.200000000E2,5.095537003E-1
7.300000000E2,4.334351767E-1
7.400000000E2,3.543716210E-1
7.500000000E2,3.015328440E-1
7.600000000E2,2.427464252E-1
7.700000000E2,3.531607272E-1
7.800000000E2,4.355937258E-1
7.900000000E2,5.999635119E-1
8.000000000E2,5.194175775E-1
8.100000000E2,4.346594023E-1
8.200000000E2,5.553116727E-1
8.300000000E2,6.086942300E-1
8.400000000E2,3.226118054E-1
8.500000000E2,4.522803698E-1
8.600000000E2,6.695301381E-1
8.700000000E2,7.137604060E-1
8.800000000E2,7.960497235E-1
8.900000000E2,9.467621456E-1
9.000000000E2,8.097102916E-1
9.100000000E2,8.154001210E-1
9.200000000E2,7.337228717E-1
9.300000000E2,9.482976503E-1
9.400000000E2,8.689795906E-1
9.500000000E2,6.581030374E-1
9.600000000E2,7.475891423E-1
9.700000000E2,6.545739961E-1
9.800000000E2,2.037768713E-1
9.900000000E2,3.886864936E-1
1.000000000E3,6.972902733E-1
1.010000000E3,7.505052046E-1
1.020000000E3,5.636423531E-1
1.030000000E3,8.303266181E-1
1.040000000E3,8.612473773E-1
1.050000000E3,8.099300356E-1
1.060000000E3,8.326806377E-1
1.070000000E3,8.513986454E-1
1.080000000E3,8.351947595E-1
1.090000000E3,7.445877991E-1
1.100000000E3,5.801518757E-1
1.110000000E3,3.468126099E-1
1.120000000E3,6.350284969E-2
1.130000000E3,5.433941645E-2
1.140000000E3,5.570384846E-1
1.150000000E3,6.714799688E-1
1.160000000E3,8.453374721E-1
1.170000000E3,8.810185218E-1
1.180000000E3,8.594640186E-1
1.190000000E3,7.736835604E-1
1.200000000E3,7.268185597E-1
1.210000000E3,7.124566714E-1
1.220000000E3,5.904167071E-1
1.230000000E3,5.141249245E-1
1.240000000E3,4.169475908E-1
1.250000000E3,2.655061529E-1
1.260000000E3,8.502988092E-2
1.270000000E3,8.887870858E-2
1.280000000E3,7.144219909E-1
1.290000000E3,7.975871273E-1
1.300000000E3,9.884995253E-1
1.310000000E3,8.855819428E-1
1.320000000E3,6.566645182E-1
1.330000000E3,6.105880783E-1
1.340000000E3,6.569808901E-1
1.350000000E3,6.278867326E-1
1.360000000E3,5.158767504E-1
1.370000000E3,4.874072561E-1
1.380000000E3,3.296666664E-1
1.390000000E3,1.488657425E-1
1.400000000E3,4.011172403E-2
1.410000000E3,7.320575187E-2
1.420000000E3,1.164186479E0
1.430000000E3,1.803568785E0
1.440000000E3,1.577926279E0
1.450000000E3,1.326920231E0
1.460000000E3,1.154512437E0
1.470000000E3,8.229737222E-1
1.480000000E3,6.051457741E-1
1.490000000E3,5.258041244E-1
1.500000000E3,3.790189540E-1
1.510000000E3,2.899627711E-1
1.520000000E3,2.029718550E-1
1.530000000E3,1.407392047E-1
1.540000000E3,6.695370079E-2
1.550000000E3,1.077248033E-1
1.560000000E3,1.051225547E0
1.570000000E3,3.226096551E0
1.580000000E3,3.018178607E0
1.590000000E3,2.345005495E0
1.600000000E3,1.748318708E0
1.610000000E3,1.366197197E0
1.620000000E3,9.445051683E-1
1.630000000E3,7.450688501E-1
1.640000000E3,5.986414570E-1
1.650000000E3,5.200862734E-1
1.660000000E3,3.828326659E-1
1.670000000E3,2.699387962E-1
1.680000000E3,1.481029260E-1
1.690000000E3,2.636712712E-1
1.700000000E3,5.145625843E-1
1.710000000E3,2.731584308E0
1.720000000E3,4.564758982E0
1.730000000E3,3.964132956E0
1.740000000E3,3.027884701E0
1.750000000E3,1.990707956E0
1.760000000E3,9.638318398E-1
1.770000000E3,1.056321581E0
1.780000000E3,8.723753226E-1
1.790000000E3,5.585362452E-1
1.800000000E3,4.111473575E-1
1.810000000E3,8.554394694E-1
1.820000000E3,4.701721610E-1
1.830000000E3,5.107878069E-1
