"frequency (Hz)","audio amplitude (a.u.)"
2.000000000E2,3.286901626E-1
2.100000000E2,1.578747223E-1
2.200000000E2,2.214921876E-1
2.300000000E2,3.591278246E-1
2.400000000E2,3.578636503E-1
2.500000000E2,2.570769512E-1
2.600000000E2,2.357732294E-1
2.700000000E2,1.841501224E-1
2.800000000E2,1.737888625E-1
2.900000000E2,1.405601619E-1
3.000000000E2,1.238003441E-1
3.100000000E2,2.141680936E-1
3.200000000E2,3.372452216E-1
3.300000000E2,3.995888336E-1
3.400000000E2,4.586781566E-1
3.500000000E2,3.959238565E-1
3.600000000E2,3.560453601E-1
3.700000000E2,1.743780988E-1
3.800000000E2,1.071454955E-1
3.900000000E2,1.049750201E-1
4.000000000E2,1.462151867E-1
4.100000000E2,2.836184175E-1
4.200000000E2,3.194435823E-1
4.300000000E2,3.584680252E-1
4.400000000E2,3.898101879E-1
4.500000000E2,3.658634134E-1
4.600000000E2,3.033150339E-1
4.700000000E2,2.386531710E-1
4.800000000E2,2.030949060E-1
4.900000000E2,3.168743461E-1
5.000000000E2,3.110528596E-1
5.100000000E2,2.399357270E-1
5.200000000E2,6.053717938E-1
5.300000000E2,5.132938034E-1
5.400000000E2,3.563790380E-1
5.500000000E2,2.910191761E-1
5.600000000E2,2.867609839E-1
5.700000000E2,3.731814990E-1
5.800000000E2,4.377055224E-1
5.900000000E2,5.419942537E-1
6.000000000E2,5.470711964E-1
6.100000000E2,5.425269385E-1
6.200000000E2,4.935430506E-1
6.300000000E2,3.378072215E-1
6.400000000E2,9.093181343E-2
6.500000000E2,6.908560593E-2
6.600000000E2,7.586506923E-2
6.700000000E2,1.214737713E-1
6.800000000E2,2.439955000E-1
6.900000000E2,3.374260722E-1
7.000000000E2,4.052375026E-1
7.100000000E2,4.526278181E-1
7.200000000E2,4.778016468E-1
7.300000000E2,3.927192575E-1
7.400000000E2,3.155766635E-1
7.500000000E2,2.604265558E-1
7.600000000E2,1.787474427E-1
7.700000000E2,1.409644309E-1
7.800000000E2,1.062920064E-1
7.900000000E2,1.346546519E-1
8.000000000E2,2.087042205E-1
8.100000000E2,2.184089287E-1
8.200000000E2,4.465294213E-1
8.300000000E2,6.592496726E-1
8.400000000E2,7.578059461E-1
8.500000000E2,7.951272127E-1
8.600000000E2,7.955469565E-1
8.700000000E2,8.662305562E-1
8.800000000E2,8.627320036E-1
8.900000000E2,7.220774231E-1
9.000000000E2,6.109648734E-1
9.100000000E2,5.003058152E-1
9.200000000E2,3.346452592E-1
9.300000000E2,2.639579340E-1
9.400000000E2,3.196351643E-1
9.500000000E2,3.998020096E-1
9.600000000E2,5.227374393E-1
9.700000000E2,6.528863217E-1
9.800000000E2,7.949881605E-1
9.900000000E2,8.681843760E-1
1.000000000E3,9.753697988E-1
1.010000000E3,8.920050250E-1
1.020000000E3,8.498882087E-1
1.030000000E3,7.758987225E-1
1.040000000E3,6.731732305E-1
1.050000000E3,5.711457162E-1
1.060000000E3,4.950460567E-1
1.070000000E3,3.136669362E-1
1.080000000E3,2.828555339E-1
1.090000000E3,2.196259994E-1
1.100000000E3,3.807952678E-1
1.110000000E3,5.376859291E-1
1.120000000E3,6.621828770E-1
1.130000000E3,7.317224456E-1
1.140000000E3,7.822279225E-1
1.150000000E3,7.978131405E-1
1.160000000E3,8.451645811E-1
1.170000000E3,7.675491835E-1
1.180000000E3,6.566895648E-1
1.190000000E3,6.000133007E-1
1.200000000E3,4.069331012E-1
1.210000000E3,1.664178159E-1
1.220000000E3,4.634234593E-1
1.230000000E3,1.591955543E-1
1.240000000E3,4.646288915E-1
1.250000000E3,8.066963627E-1
1.260000000E3,1.182255161E0
1.270000000E3,1.247413402E0
1.280000000E3,1.480910881E0
1.290000000E3,9.714193670E-1
1.300000000E3,8.378365735E-1
1.310000000E3,6.961581826E-1
1.320000000E3,6.052809377E-1
1.330000000E3,4.369875965E-1
1.340000000E3,3.001312009E-1
1.350000000E3,1.528371090E-1
1.360000000E3,8.039589389E-2
1.370000000E3,1.749861200E-1
1.380000000E3,6.653779890E-1
1.390000000E3,1.531337501E0
1.400000000E3,2.166852373E0
1.410000000E3,2.171003726E0
1.420000000E3,1.947204442E0
1.430000000E3,1.629812266E0
1.440000000E3,1.348847188E0
1.450000000E3,1.044329437E0
1.460000000E3,8.652507637E-1
1.470000000E3,5.962152499E-1
1.480000000E3,4.146861932E-1
1.490000000E3,2.167751094E-1
1.500000000E3,1.910216628E-1
1.510000000E3,3.911259141E-1
1.520000000E3,1.244463041E0
1.530000000E3,2.613730405E0
1.540000000E3,3.649505576E0
1.550000000E3,3.528650927E0
1.560000000E3,3.031304552E0
1.570000000E3,2.596360739E0
1.580000000E3,2.040670017E0
1.590000000E3,1.682840483E0
1.600000000E3,1.346754370E0
1.610000000E3,1.017403887E0
1.620000000E3,7.682992727E-1
1.630000000E3,6.143899290E-1
1.640000000E3,5.376477817E-1
1.650000000E3,7.486515892E-1
1.660000000E3,1.532573363E0
1.670000000E3,2.931940466E0
1.680000000E3,4.666686390E0
1.690000000E3,4.768838864E0
1.700000000E3,4.204747217E0
1.710000000E3,3.578782602E0
1.720000000E3,2.792453994E0
1.730000000E3,2.350151977E0
1.740000000E3,1.922975694E0
1.750000000E3,1.573311859E0
1.760000000E3,1.338665251E0
1.770000000E3,1.050351753E0
1.780000000E3,8.504285559E-1
1.790000000E3,9.901867089E-1
1.800000000E3,1.229400676E0
1.810000000E3,1.724639572E0
1.820000000E3,2.889645964E0
1.830000000E3,3.599324224E0
1.840000000E3,2.839065874E0
1.850000000E3,2.933051961E0
1.860000000E3,2.245699223E0
1.870000000E3,1.678806088E0
1.880000000E3,1.196796917E0
1.890000000E3,1.125393375E0
1.900000000E3,1.147978684E0
1.910000000E3,1.074319717E0
1.920000000E3,9.099556552E-1
1.930000000E3,9.156022947E-1
1.940000000E3,1.004459651E0
1.950000000E3,9.889922082E-1
1.960000000E3,1.088845385E0
1.970000000E3,1.468244071E0
1.980000000E3,1.885801969E0
1.990000000E3,2.439114279E0
2.000000000E3,2.767607614E0
2.010000000E3,2.510747875E0
2.020000000E3,2.180972379E0
