"frequency (Hz)","audio amplitude (a.u.)"
2.000000000E2,3.437681225E-1
2.100000000E2,1.073439892E-1
2.200000000E2,1.805942210E-1
2.300000000E2,2.996102757E-1
2.400000000E2,3.354211075E-1
2.500000000E2,3.384344758E-1
2.600000000E2,2.995034009E-1
2.700000000E2,2.566627845E-1
2.800000000E2,1.821053869E-1
2.900000000E2,1.315244990E-1
3.000000000E2,1.090565976E-1
3.100000000E2,1.478009234E-1
3.200000000E2,2.865635910E-1
3.300000000E2,3.350674935E-1
3.400000000E2,3.623341355E-1
3.500000000E2,3.578060556E-1
3.600000000E2,2.945618612E-1
3.700000000E2,2.406787694E-1
3.800000000E2,1.902036043E-1
3.900000000E2,1.226250271E-1
4.000000000E2,1.174670460E-1
4.100000000E2,2.786495577E-1
4.200000000E2,3.437090013E-1
4.300000000E2,3.677503620E-1
4.400000000E2,3.608990130E-1
4.500000000E2,3.029691550E-1
4.600000000E2,2.660444036E-1
4.700000000E2,1.987799518E-1
4.800000000E2,1.475484349E-1
4.900000000E2,2.798982124E-1
5.000000000E2,3.592458397E-1
5.100000000E2,4.270178476E-1
5.200000000E2,4.413235366E-1
5.300000000E2,3.681220448E-1
5.400000000E2,4.430765966E-1
5.500000000E2,2.610867697E-1
5.600000000E2,3.032668481E-1
5.700000000E2,3.689666188E-1
5.800000000E2,4.337764387E-1
5.900000000E2,5.468688328E-1
6.000000000E2,5.241109977E-1
6.100000000E2,4.949240590E-1
6.200000000E2,4.799610286E-1
6.300000000E2,3.937559554E-1
6.400000000E2,1.515671731E-1
6.500000000E2,1.282050013E-1
6.600000000E2,1.250936780E-1
6.700000000E2,1.306761865E-1
6.800000000E2,3.350184527E-1
6.900000000E2,4.472323967E-1
7.000000000E2,4.654078712E-1
7.100000000E2,4.864780077E-1
7.200000000E2,5.297073129E-1
7.300000000E2,4.338074472E-1
7.400000000E2,3.459017395E-1
7.500000000E2,2.849233071E-1
7.600000000E2,2.113939968E-1
7.700000000E2,3.537085283E-1
7.800000000E2,5.228669328E-1
7.900000000E2,6.839817872E-1
8.000000000E2,5.760920171E-1
8.100000000E2,4.120586657E-1
8.200000000E2,6.701526423E-1
8.300000000E2,6.835308198E-1
8.400000000E2,9.387153310E-1
8.500000000E2,8.251085156E-1
8.600000000E2,8.421092458E-1
8.700000000E2,8.927481968E-1
8.800000000E2,9.052299533E-1
8.900000000E2,9.274030285E-1
9.000000000E2,8.247099373E-1
9.100000000E2,8.540948118E-1
9.200000000E2,7.380163194E-1
9.300000000E2,9.381767050E-1
9.400000000E2,9.369851205E-1
9.500000000E2,7.001337542E-1
9.600000000E2,8.531899059E-1
9.700000000E2,8.468037753E-1
9.800000000E2,9.643361082E-1
9.900000000E2,9.475615262E-1
1.000000000E3,9.132230031E-1
1.010000000E3,9.415531593E-1
1.020000000E3,9.019520510E-1
1.030000000E3,9.205793880E-1
1.040000000E3,9.116382061E-1
1.050000000E3,7.135131229E-1
1.060000000E3,7.575939390E-1
1.070000000E3,8.855984087E-1
1.080000000E3,8.804683178E-1
1.090000000E3,6.844209624E-1
1.100000000E3,4.657011318E-1
1.110000000E3,3.207560990E-1
1.120000000E3,4.262319003E-1
1.130000000E3,7.414644592E-1
1.140000000E3,6.852491207E-1
1.150000000E3,8.339851724E-1
1.160000000E3,9.154013934E-1
1.170000000E3,9.646319096E-1
1.180000000E3,9.160286076E-1
1.190000000E3,8.068262416E-1
1.200000000E3,8.220144731E-1
1.210000000E3,8.813549286E-1
1.220000000E3,8.971536168E-1
1.230000000E3,8.264436377E-1
1.240000000E3,7.156355113E-1
1.250000000E3,7.860202220E-1
1.260000000E3,9.471917909E-1
1.270000000E3,9.080856781E-1
1.280000000E3,8.886859436E-1
1.290000000E3,7.070150741E-1
1.300000000E3,7.396312121E-1
1.310000000E3,7.655004478E-1
1.320000000E3,8.000282951E-1
1.330000000E3,7.197033528E-1
1.340000000E3,7.754280136E-1
1.350000000E3,8.022222497E-1
1.360000000E3,8.560373945E-1
1.370000000E3,7.944323086E-1
1.380000000E3,7.285675934E-1
1.390000000E3,7.155417195E-1
1.400000000E3,6.684637366E-1
1.410000000E3,7.148042337E-1
1.420000000E3,6.659348430E-1
1.430000000E3,7.416277524E-1
1.440000000E3,7.627851890E-1
1.450000000E3,8.205252794E-1
1.460000000E3,8.425318192E-1
1.470000000E3,7.710624100E-1
1.480000000E3,6.709397557E-1
1.490000000E3,6.657456696E-1
1.500000000E3,8.398908435E-1
1.510000000E3,6.512717773E-1
1.520000000E3,6.326041415E-1
1.530000000E3,7.587079806E-1
1.540000000E3,7.659158272E-1
1.550000000E3,7.764481423E-1
1.560000000E3,7.457495143E-1
1.570000000E3,7.396756817E-1
1.580000000E3,7.821496103E-1
1.590000000E3,7.783489750E-1
1.600000000E3,7.680637483E-1
1.610000000E3,7.889915570E-1
1.620000000E3,8.026290976E-1
1.630000000E3,8.752264548E-1
1.640000000E3,8.993969429E-1
1.650000000E3,8.830532719E-1
1.660000000E3,8.280428907E-1
1.670000000E3,6.717538418E-1
1.680000000E3,8.583017185E-1
1.690000000E3,9.891750976E-1
1.700000000E3,7.619613084E-1
1.710000000E3,7.856674425E-1
1.720000000E3,9.884783066E-1
1.730000000E3,9.751940587E-1
1.740000000E3,1.043458086E0
1.750000000E3,9.930209551E-1
1.760000000E3,8.052961389E-1
1.770000000E3,9.301264098E-1
1.780000000E3,8.403527723E-1
1.790000000E3,9.918943446E-1
1.800000000E3,8.533357376E-1
1.810000000E3,6.942555178E-1
1.820000000E3,7.290562929E-1
1.830000000E3,7.391937776E-1
1.840000000E3,6.448420582E-1
1.850000000E3,7.635387178E-1
1.860000000E3,7.462318626E-1
1.870000000E3,6.775970676E-1
1.880000000E3,5.591142667E-1
1.890000000E3,6.738100062E-1
1.900000000E3,6.614731677E-1
