"frequency (Hz)","audio amplitude (a.u.)"
2.000000000E2,1.389905440E0
2.250000000E2,1.076230946E0
2.500000000E2,1.359834300E0
2.750000000E2,4.566160425E-1
3.000000000E2,1.662065967E0
3.250000000E2,1.252158053E0
3.500000000E2,1.258767563E0
3.750000000E2,8.432683121E-1
4.000000000E2,3.126278551E0
4.250000000E2,1.635732463E0
4.500000000E2,1.252652172E0
4.750000000E2,5.747569601E-1
5.000000000E2,5.885260338E-1
5.250000000E2,1.836776802E0
5.500000000E2,1.660740887E0
5.750000000E2,1.269719141E0
6.000000000E2,8.649387683E-1
6.250000000E2,9.311825857E-1
6.500000000E2,1.290525873E0
6.750000000E2,6.309542782E-1
7.000000000E2,1.547447418E0
7.250000000E2,7.986345398E-1
7.500000000E2,1.018992259E0
7.750000000E2,1.355934700E0
8.000000000E2,1.617546490E0
8.250000000E2,2.104567596E0
8.500000000E2,1.773078279E0
8.750000000E2,2.517963972E0
9.000000000E2,3.759953825E0
9.250000000E2,1.660861371E0
9.500000000E2,2.178145590E0
9.750000000E2,5.762866481E0
1.000000000E3,5.690187310E0
1.025000000E3,2.534984065E0
1.050000000E3,2.810871893E0
1.075000000E3,3.308730439E0
1.100000000E3,2.800255710E0
1.125000000E3,2.152970301E0
1.150000000E3,3.516951921E0
1.175000000E3,3.803565510E0
1.200000000E3,1.871322446E0
1.225000000E3,2.219106979E0
1.250000000E3,2.402316313E0
1.275000000E3,4.464747599E0
1.300000000E3,3.234928305E0
1.325000000E3,2.627610589E0
1.350000000E3,2.686360515E0
1.375000000E3,2.487311020E0
1.400000000E3,2.364482922E0
1.425000000E3,3.053104129E0
1.450000000E3,6.530592755E0
1.475000000E3,4.471858002E0
1.500000000E3,6.508440019E0
1.525000000E3,7.281742469E0
1.550000000E3,6.668647499E0
1.575000000E3,1.281951560E1
1.600000000E3,2.760028451E0
1.625000000E3,1.355875287E0
1.650000000E3,2.242753967E0
1.675000000E3,2.277912814E0
1.700000000E3,4.987763049E0
1.725000000E3,4.042481130E0
1.750000000E3,2.361385182E0
1.775000000E3,3.974546696E0
1.800000000E3,4.901946229E0
1.825000000E3,4.913872872E0
1.850000000E3,1.723636709E0
1.875000000E3,1.700307702E0
1.900000000E3,1.343924065E0
1.925000000E3,1.640986094E0
1.950000000E3,2.096869901E0
1.975000000E3,1.092302532E0
2.000000000E3,2.289340364E0
2.025000000E3,4.721244620E0
2.050000000E3,1.607405068E0
2.075000000E3,3.109743109E0
2.100000000E3,3.863025333E0
2.125000000E3,1.637822610E0
2.150000000E3,1.690426025E0
2.175000000E3,3.997456990E0
2.200000000E3,1.347000355E0
2.225000000E3,2.231687526E0
2.250000000E3,2.342855955E0
2.275000000E3,4.087692157E0
2.300000000E3,3.337233939E0
2.325000000E3,1.535378498E0
2.350000000E3,1.695492101E0
2.375000000E3,2.511990158E0
2.400000000E3,2.546185022E0
2.425000000E3,1.552786831E0
2.450000000E3,1.740084337E0
2.475000000E3,1.890497284E0
2.500000000E3,2.633801456E0
2.525000000E3,1.446337333E0
2.550000000E3,2.054265618E0
2.575000000E3,1.705926669E0
2.600000000E3,2.517096888E0
2.625000000E3,4.073485250E0
2.650000000E3,3.499193741E0
2.675000000E3,2.019558310E0
2.700000000E3,1.929604843E0
2.725000000E3,2.254462890E0
2.750000000E3,2.599540277E0
2.775000000E3,3.790215021E0
2.800000000E3,2.136283892E0
2.825000000E3,2.416335760E0
2.850000000E3,2.677341804E0
2.875000000E3,2.140905159E0
2.900000000E3,1.102798111E0
2.925000000E3,1.734240470E0
2.950000000E3,2.029563557E0
2.975000000E3,1.514980175E0
3.000000000E3,2.232554035E0
