"frequency (Hz)","audio amplitude (a.u.)"
2.000000000E2,2.361111702E-1
2.250000000E2,2.992114293E-1
2.500000000E2,3.064785004E-1
2.750000000E2,1.801063784E-1
3.000000000E2,1.522891496E-1
3.250000000E2,2.821029430E-1
3.500000000E2,2.985539099E-1
3.750000000E2,1.845560995E-1
4.000000000E2,1.512272299E-1
4.250000000E2,3.360720924E-1
4.500000000E2,2.522175154E-1
4.750000000E2,1.860483481E-1
5.000000000E2,3.720953309E-1
5.250000000E2,4.407202812E-1
5.500000000E2,2.917768663E-1
5.750000000E2,4.688787320E-1
6.000000000E2,5.568988187E-1
6.250000000E2,4.568358601E-1
6.500000000E2,1.474616461E-1
6.750000000E2,2.611401890E-1
7.000000000E2,4.425403363E-1
7.250000000E2,4.434628639E-1
7.500000000E2,2.538126033E-1
7.750000000E2,3.427522967E-1
8.000000000E2,4.627899043E-1
8.250000000E2,5.317558671E-1
8.500000000E2,6.980982021E-1
8.750000000E2,7.527386730E-1
9.000000000E2,8.252538079E-1
9.250000000E2,1.774478686E-1
9.500000000E2,2.241901227E-1
9.750000000E2,8.636904526E-1
1.000000000E3,5.952699445E-1
1.025000000E3,3.652990450E-1
1.050000000E3,3.699311590E-1
1.075000000E3,5.550097707E-1
1.100000000E3,5.156965872E-1
1.125000000E3,2.068771643E-1
1.150000000E3,4.795403580E-1
1.175000000E3,6.852623016E-1
1.200000000E3,5.689112019E-1
1.225000000E3,7.699008029E-1
1.250000000E3,7.234114323E-1
1.275000000E3,7.400000430E-1
1.300000000E3,4.037005152E-1
1.325000000E3,6.556793591E-1
1.350000000E3,9.144043126E-1
1.375000000E3,7.060523314E-1
1.400000000E3,5.497052240E-1
1.425000000E3,6.813089182E-1
1.450000000E3,7.243984243E-1
1.475000000E3,6.823051161E-1
1.500000000E3,6.044052445E-1
1.525000000E3,8.792103762E-1
1.550000000E3,9.271757737E-1
1.575000000E3,9.118694890E-1
1.600000000E3,7.921689672E-1
1.625000000E3,1.054705393E0
1.650000000E3,9.764435144E-1
1.675000000E3,8.442802168E-1
1.700000000E3,8.637892738E-1
1.725000000E3,1.190728843E0
1.750000000E3,1.255841127E0
1.775000000E3,9.776197898E-1
1.800000000E3,9.910737770E-1
1.825000000E3,9.329859048E-1
1.850000000E3,9.451101989E-1
1.875000000E3,7.081798488E-1
1.900000000E3,9.618790883E-1
1.925000000E3,1.044679646E0
1.950000000E3,7.566287505E-1
1.975000000E3,5.192392835E-1
2.000000000E3,9.541229312E-1
2.025000000E3,1.155360177E0
2.050000000E3,6.161821396E-1
2.075000000E3,6.354723505E-1
2.100000000E3,1.226740458E0
2.125000000E3,1.178814535E0
2.150000000E3,6.417768401E-1
2.175000000E3,8.027778585E-1
2.200000000E3,1.224202029E0
2.225000000E3,1.092694037E0
2.250000000E3,1.053381580E0
2.275000000E3,1.067517470E0
2.300000000E3,1.393092112E0
2.325000000E3,9.837073481E-1
2.350000000E3,6.709522548E-1
2.375000000E3,1.342497538E0
2.400000000E3,1.455344494E0
2.425000000E3,8.624516425E-1
2.450000000E3,8.301424760E-1
2.475000000E3,1.503807531E0
2.500000000E3,1.549588055E0
2.525000000E3,8.157834265E-1
2.550000000E3,1.059038659E0
2.575000000E3,1.616289276E0
2.600000000E3,1.373960633E0
2.625000000E3,1.434386253E0
2.650000000E3,1.402460872E0
2.675000000E3,1.811771333E0
2.700000000E3,1.245958393E0
2.725000000E3,8.421260889E-1
2.750000000E3,1.670582922E0
2.775000000E3,1.780143881E0
2.800000000E3,1.141775978E0
2.825000000E3,1.094843674E0
2.850000000E3,1.827853927E0
2.875000000E3,1.804994024E0
2.900000000E3,9.233964493E-1
2.925000000E3,1.242574019E0
2.950000000E3,1.758438329E0
2.975000000E3,1.519949074E0
3.000000000E3,1.107759803E0

