"frequency (Hz)","audio amplitude (a.u.)"
2.000000000E2,3.692377005E-1
2.100000000E2,1.343006067E-1
2.200000000E2,2.059760984E-1
2.300000000E2,3.161007014E-1
2.400000000E2,3.502567551E-1
2.500000000E2,3.525579841E-1
2.600000000E2,3.342390390E-1
2.700000000E2,2.450059014E-1
2.800000000E2,2.181646744E-1
2.900000000E2,1.259645681E-1
3.000000000E2,1.452700088E-1
3.100000000E2,1.505265420E-1
3.200000000E2,3.064117867E-1
3.300000000E2,3.416072160E-1
3.400000000E2,3.663245496E-1
3.500000000E2,3.684313643E-1
3.600000000E2,3.018844724E-1
3.700000000E2,2.547077120E-1
3.800000000E2,1.843083218E-1
3.900000000E2,1.453246268E-1
4.000000000E2,1.560871556E-1
4.100000000E2,2.701355613E-1
4.200000000E2,3.378261583E-1
4.300000000E2,4.011991830E-1
4.400000000E2,3.698035340E-1
4.500000000E2,3.712806281E-1
4.600000000E2,2.839615954E-1
4.700000000E2,2.094610287E-1
4.800000000E2,1.636071904E-1
4.900000000E2,2.993250613E-1
5.000000000E2,3.849806401E-1
5.100000000E2,4.320600275E-1
5.200000000E2,4.430614282E-1
5.300000000E2,3.817863216E-1
5.400000000E2,4.143927472E-1
5.500000000E2,2.733974039E-1
5.600000000E2,3.200300319E-1
5.700000000E2,3.764787573E-1
5.800000000E2,3.075075368E-1
5.900000000E2,4.678096817E-1
6.000000000E2,5.203174241E-1
6.100000000E2,5.008051919E-1
6.200000000E2,4.867653345E-1
6.300000000E2,4.166931463E-1
6.400000000E2,1.757366386E-1
6.500000000E2,1.360673459E-1
6.600000000E2,1.340326228E-1
6.700000000E2,1.455411623E-1
6.800000000E2,3.721598354E-1
6.900000000E2,4.915569464E-1
7.000000000E2,4.769317775E-1
7.100000000E2,5.130519391E-1
7.200000000E2,4.239869937E-1
7.300000000E2,2.420843216E-1
7.400000000E2,3.124658833E-1
7.500000000E2,2.836791174E-1
7.600000000E2,2.239837728E-1
7.700000000E2,3.251940176E-1
7.800000000E2,3.920628334E-1
