"frequency (Hz)","audio amplitude (a.u.)"
2.000000000E2,8.345646348E-2
2.100000000E2,1.839003637E-2
2.200000000E2,3.466368251E-2
2.300000000E2,4.669257812E-2
2.400000000E2,5.393779819E-2
2.500000000E2,6.162996769E-2
2.600000000E2,4.776319038E-2
2.700000000E2,4.346079957E-2
2.800000000E2,3.348065648E-2
2.900000000E2,2.456438432E-2
3.000000000E2,1.857996512E-2
3.100000000E2,2.701703604E-2
3.200000000E2,4.604415736E-2
3.300000000E2,5.243607648E-2
3.400000000E2,5.978952470E-2
3.500000000E2,6.141108514E-2
3.600000000E2,4.920263821E-2
3.700000000E2,3.985528733E-2
3.800000000E2,2.964646824E-2
3.900000000E2,2.095030432E-2
4.000000000E2,2.006519863E-2
4.100000000E2,4.760962268E-2
4.200000000E2,5.974795817E-2
4.300000000E2,6.539679484E-2
4.400000000E2,6.713972241E-2
4.500000000E2,5.394322441E-2
4.600000000E2,4.532773285E-2
4.700000000E2,3.586547863E-2
4.800000000E2,2.607835088E-2
4.900000000E2,5.012880749E-2
5.000000000E2,6.506737339E-2
5.100000000E2,7.226848706E-2
5.200000000E2,7.629418740E-2
5.300000000E2,6.422737068E-2
5.400000000E2,6.605343969E-2
5.500000000E2,3.453493234E-2
5.600000000E2,5.101577874E-2
5.700000000E2,6.045528868E-2
5.800000000E2,7.229776963E-2
5.900000000E2,8.897870706E-2
6.000000000E2,9.031654605E-2
6.100000000E2,8.420057044E-2
6.200000000E2,7.960841538E-2
6.300000000E2,7.128978984E-2
6.400000000E2,2.631393679E-2
6.500000000E2,2.226353068E-2
6.600000000E2,2.225495454E-2
6.700000000E2,2.332493532E-2
6.800000000E2,6.142569290E-2
6.900000000E2,8.023850287E-2
7.000000000E2,8.661582635E-2
7.100000000E2,9.030757966E-2
7.200000000E2,8.811085424E-2
7.300000000E2,7.340849454E-2
7.400000000E2,6.027964822E-2
7.500000000E2,4.651087531E-2
7.600000000E2,2.739670541E-2
7.700000000E2,2.586873463E-2
7.800000000E2,5.101442731E-2
7.900000000E2,8.281177009E-2
8.000000000E2,8.131739510E-2
8.100000000E2,6.600987069E-2
8.200000000E2,1.110094823E-1
8.300000000E2,1.526954629E-1
8.400000000E2,1.573167413E-1
8.500000000E2,1.588310981E-1
8.600000000E2,1.588144274E-1
8.700000000E2,1.621804242E-1
8.800000000E2,1.662766206E-1
8.900000000E2,1.676905664E-1
9.000000000E2,1.684713389E-1
9.100000000E2,1.636921871E-1
9.200000000E2,1.630294892E-1
9.300000000E2,1.566743391E-1
9.400000000E2,1.573094728E-1
9.500000000E2,1.527736699E-1
9.600000000E2,1.075668264E-1
9.700000000E2,1.123343565E-1
9.800000000E2,8.663880161E-2
9.900000000E2,8.206569513E-2
1.000000000E3,9.639455491E-2
1.010000000E3,1.122658889E-1
1.020000000E3,1.329605818E-1
1.030000000E3,1.416788901E-1
1.040000000E3,1.467342565E-1
1.050000000E3,1.535856027E-1
1.060000000E3,1.558594054E-1
1.070000000E3,1.571227750E-1
1.080000000E3,1.562338181E-1
1.090000000E3,1.567799743E-1
1.100000000E3,1.527068193E-1
1.110000000E3,1.438876555E-1
1.120000000E3,1.346518178E-1
1.130000000E3,1.362840574E-1
1.140000000E3,1.344050590E-1
1.150000000E3,1.253528949E-1
1.160000000E3,1.089248698E-1
1.170000000E3,1.087760689E-1
1.180000000E3,9.929071741E-2
1.190000000E3,8.265588233E-2
1.200000000E3,7.325274275E-2
1.210000000E3,6.321941417E-2
1.220000000E3,6.910227390E-2
1.230000000E3,7.567049197E-2
1.240000000E3,1.411370229E-1
1.250000000E3,1.153098706E-1
1.260000000E3,1.384708441E-1
1.270000000E3,1.284528115E-1
1.280000000E3,1.337358927E-1
1.290000000E3,1.339504546E-1
1.300000000E3,1.318557087E-1
1.310000000E3,1.240766666E-1
1.320000000E3,1.253829421E-1
1.330000000E3,1.270024088E-1
1.340000000E3,1.281743608E-1
1.350000000E3,1.277018152E-1
1.360000000E3,1.195971237E-1
1.370000000E3,1.093330832E-1
1.380000000E3,1.005857623E-1
1.390000000E3,9.329522690E-2
1.400000000E3,8.215005575E-2
1.410000000E3,6.790550909E-2
1.420000000E3,6.285239573E-2
1.430000000E3,5.436971329E-2
1.440000000E3,4.759260452E-2
1.450000000E3,5.333603861E-2
1.460000000E3,6.629422828E-2
1.470000000E3,1.069483737E-1
1.480000000E3,1.618949825E-1
1.490000000E3,1.970133924E-1
1.500000000E3,2.138201452E-1
1.510000000E3,2.044998872E-1
1.520000000E3,1.947840631E-1
1.530000000E3,1.848304671E-1
1.540000000E3,1.764559336E-1
1.550000000E3,1.516244195E-1
1.560000000E3,1.521266099E-1
1.570000000E3,1.380313969E-1
1.580000000E3,1.356742293E-1
1.590000000E3,1.227003496E-1
1.600000000E3,1.075862615E-1
1.610000000E3,1.009993739E-1
1.620000000E3,9.440630760E-2
1.630000000E3,8.835026252E-2
1.640000000E3,7.833022193E-2
1.650000000E3,7.371189325E-2
1.660000000E3,7.004479727E-2
1.670000000E3,7.816658322E-2
1.680000000E3,1.225165707E-1
1.690000000E3,2.139255578E-1
1.700000000E3,3.572864409E-1
1.710000000E3,5.608808569E-1
1.720000000E3,7.092513515E-1
1.730000000E3,6.164487134E-1
1.740000000E3,5.381272772E-1
1.750000000E3,4.781374771E-1
1.760000000E3,3.973004381E-1
1.770000000E3,3.689364849E-1
1.780000000E3,3.328454262E-1
1.790000000E3,2.897926528E-1
1.800000000E3,2.537027173E-1
1.810000000E3,1.774818779E-1
1.820000000E3,1.713733952E-1
1.830000000E3,1.606753933E-1
1.840000000E3,1.363753363E-1
1.850000000E3,1.456864817E-1
1.860000000E3,1.346483819E-1
1.870000000E3,1.188844164E-1
1.880000000E3,1.037941763E-1
1.890000000E3,1.344888236E-1
1.900000000E3,2.133521019E-1
1.910000000E3,3.986714705E-1
1.920000000E3,5.947465661E-1
1.930000000E3,9.099379217E-1
1.940000000E3,8.283108597E-1
1.950000000E3,5.005521483E-1
1.960000000E3,2.669580934E-1
1.970000000E3,1.843917147E-1
1.980000000E3,1.905062793E-1
1.990000000E3,2.402598927E-1
2.000000000E3,2.507756395E-1
2.010000000E3,2.699906871E-1
2.020000000E3,2.503458144E-1
2.030000000E3,2.381377764E-1
2.040000000E3,1.809552544E-1
2.050000000E3,1.236360459E-1
2.060000000E3,9.209455030E-2
2.070000000E3,9.798348914E-2
2.080000000E3,1.367893587E-1
2.090000000E3,1.940510041E-1
2.100000000E3,2.302849868E-1
2.110000000E3,2.504616790E-1
2.120000000E3,3.258443756E-1
2.130000000E3,3.743144252E-1
2.140000000E3,4.277911347E-1
2.150000000E3,4.698837053E-1
2.160000000E3,5.244081245E-1
2.170000000E3,5.552078966E-1
2.180000000E3,5.842583528E-1
2.190000000E3,5.941774504E-1
2.200000000E3,4.773670651E-1
2.210000000E3,4.180546871E-1
2.220000000E3,3.847939693E-1
2.230000000E3,2.890866169E-1
2.240000000E3,2.218477976E-1
2.250000000E3,2.491922666E-1
2.260000000E3,3.011424340E-1
2.270000000E3,2.718300730E-1
2.280000000E3,2.413526057E-1
2.290000000E3,2.951420388E-1
2.300000000E3,3.033776599E-1
2.310000000E3,3.228602807E-1
2.320000000E3,2.557961974E-1
2.330000000E3,2.162900004E-1
2.340000000E3,1.961465510E-1
2.350000000E3,2.539254213E-1
2.360000000E3,5.235605059E-1
2.370000000E3,1.048367722E0
2.380000000E3,1.544708269E0
2.390000000E3,1.480710319E0
2.400000000E3,1.124509671E0
2.410000000E3,7.431211643E-1
2.420000000E3,4.067395196E-1
2.430000000E3,2.400368096E-1
2.440000000E3,1.947161255E-1
2.450000000E3,2.281521605E-1
2.460000000E3,2.899510208E-1
2.470000000E3,3.762200517E-1
2.480000000E3,3.590728872E-1
2.490000000E3,3.554528585E-1
2.500000000E3,3.627919206E-1
2.510000000E3,2.793667859E-1
2.520000000E3,1.977084939E-1
2.530000000E3,1.646669874E-1
2.540000000E3,2.253445871E-1
2.550000000E3,3.469550458E-1
2.560000000E3,5.564863787E-1
2.570000000E3,7.357478042E-1
2.580000000E3,9.105127281E-1
2.590000000E3,1.385395578E0
2.600000000E3,1.564474877E0
2.610000000E3,1.302373245E0
2.620000000E3,8.635394853E-1
2.630000000E3,8.599940191E-1
2.640000000E3,7.396632450E-1
2.650000000E3,5.942641619E-1
2.660000000E3,4.791760927E-1
2.670000000E3,5.356096506E-1
2.680000000E3,4.973600055E-1
2.690000000E3,4.377477838E-1
2.700000000E3,2.955645759E-1
2.710000000E3,2.115072544E-1
2.720000000E3,2.350610296E-1
2.730000000E3,2.386097371E-1
2.740000000E3,3.374244367E-1
2.750000000E3,4.821990448E-1
2.760000000E3,5.148511508E-1
2.770000000E3,5.889883268E-1
2.780000000E3,7.232336571E-1
2.790000000E3,6.932316673E-1
2.800000000E3,7.000651953E-1
2.810000000E3,8.263451937E-1
2.820000000E3,9.319823985E-1
2.830000000E3,1.169915322E0
2.840000000E3,1.208315048E0
2.850000000E3,1.120348686E0
2.860000000E3,8.113210983E-1
2.870000000E3,6.894874531E-1
2.880000000E3,5.591607789E-1
2.890000000E3,3.505885283E-1
2.900000000E3,2.317848364E-1
2.910000000E3,2.137023061E-1
2.920000000E3,2.741125896E-1
2.930000000E3,3.576608173E-1
2.940000000E3,4.665976581E-1
2.950000000E3,4.540168038E-1
2.960000000E3,4.755366736E-1
2.970000000E3,4.968678050E-1
2.980000000E3,4.150016710E-1
2.990000000E3,3.700058584E-1
3.000000000E3,5.202982051E-1
