"frequency (Hz)","audio amplitude (a.u.)"
2.000000000E2,9.252042633E-2
2.100000000E2,2.522765034E-2
2.200000000E2,4.618817749E-2
2.300000000E2,6.740161047E-2
2.400000000E2,8.016183451E-2
2.500000000E2,1.006293565E-1
2.600000000E2,8.211391637E-2
2.700000000E2,4.586989347E-2
2.800000000E2,9.836600760E-3
2.900000000E2,6.746584678E-3
3.000000000E2,1.458487364E-2
3.100000000E2,2.041861800E-2
3.200000000E2,3.844977432E-2
3.300000000E2,5.277238361E-2
3.400000000E2,6.575068270E-2
3.500000000E2,6.162459922E-2
3.600000000E2,5.508123222E-2
3.700000000E2,4.856654984E-2
3.800000000E2,4.037618270E-2
3.900000000E2,3.116664338E-2
4.000000000E2,3.237199644E-2
4.100000000E2,8.117420948E-2
4.200000000E2,9.960489311E-2
4.300000000E2,1.184407249E-1
4.400000000E2,1.429829312E-1
4.500000000E2,1.320349266E-1
4.600000000E2,1.630717971E-1
4.700000000E2,1.919308316E-1
4.800000000E2,1.201890908E-1
4.900000000E2,4.084346413E-2
5.000000000E2,1.002777011E-2
5.100000000E2,1.243520336E-2
5.200000000E2,3.153585615E-2
5.300000000E2,3.669193909E-2
5.400000000E2,5.858313501E-2
5.500000000E2,5.000663659E-2
5.600000000E2,6.058354987E-2
5.700000000E2,8.886861150E-2
5.800000000E2,1.183558856E-1
5.900000000E2,1.602732237E-1
6.000000000E2,1.862865857E-1
6.100000000E2,1.862576244E-1
6.200000000E2,1.955790709E-1
6.300000000E2,1.632788493E-1
6.400000000E2,1.826506648E-1
6.500000000E2,7.783865012E-2
6.600000000E2,9.486603275E-2
6.700000000E2,1.477922001E-1
6.800000000E2,4.164316886E-1
6.900000000E2,6.068268562E-1
7.000000000E2,4.883771332E-1
7.100000000E2,2.544922700E-1
7.200000000E2,9.877088661E-2
7.300000000E2,4.848487252E-2
7.400000000E2,3.986673305E-2
7.500000000E2,3.210387558E-2
7.600000000E2,3.187678759E-2
7.700000000E2,4.624041111E-2
7.800000000E2,6.581819839E-2
7.900000000E2,9.166058430E-2
8.000000000E2,1.145494459E-1
8.100000000E2,9.341143604E-2
8.200000000E2,1.811082064E-1
8.300000000E2,2.272726654E-1
8.400000000E2,2.743489821E-1
8.500000000E2,3.616494440E-1
8.600000000E2,3.604025272E-1
8.700000000E2,4.295311853E-1
8.800000000E2,5.085871017E-1
8.900000000E2,6.071870849E-1
9.000000000E2,6.972949554E-1
9.100000000E2,7.694600416E-1
9.200000000E2,7.140112349E-1
9.300000000E2,6.216047433E-1
9.400000000E2,5.086744921E-1
9.500000000E2,4.072622731E-1
9.600000000E2,3.601700317E-1
9.700000000E2,2.795465412E-1
9.800000000E2,2.468426906E-1
9.900000000E2,2.115407589E-1
1.000000000E3,1.808329019E-1
1.010000000E3,1.733512213E-1
1.020000000E3,1.434841996E-1
1.030000000E3,1.296501128E-1
1.040000000E3,1.127883434E-1
1.050000000E3,1.113013869E-1
1.060000000E3,9.292326097E-2
1.070000000E3,8.968637753E-2
1.080000000E3,9.553414474E-2
1.090000000E3,1.082304175E-1
1.100000000E3,1.377255505E-1
1.110000000E3,1.786420721E-1
1.120000000E3,2.842046305E-1
1.130000000E3,4.217277848E-1
1.140000000E3,5.537637443E-1
1.150000000E3,6.842977986E-1
1.160000000E3,7.785484262E-1
1.170000000E3,8.299066237E-1
1.180000000E3,8.210585416E-1
1.190000000E3,7.464412609E-1
1.200000000E3,7.018674034E-1
1.210000000E3,6.270968232E-1
1.220000000E3,5.561031347E-1
1.230000000E3,4.750687672E-1
1.240000000E3,3.953710912E-1
1.250000000E3,3.520783898E-1
1.260000000E3,3.013183613E-1
1.270000000E3,2.233982584E-1
1.280000000E3,1.689511074E-1
1.290000000E3,9.782719063E-2
1.300000000E3,7.329545581E-2
1.310000000E3,4.848058817E-2
1.320000000E3,3.951885353E-2
1.330000000E3,8.449238744E-2
1.340000000E3,1.474765985E-1
1.350000000E3,3.340197205E-1
1.360000000E3,5.829285162E-1
1.370000000E3,1.025084259E0
1.380000000E3,1.519859012E0
1.390000000E3,2.061011323E0
1.400000000E3,2.488313366E0
1.410000000E3,2.948016200E0
1.420000000E3,3.083231107E0
1.430000000E3,3.048927750E0
1.440000000E3,2.913199353E0
1.450000000E3,2.697730514E0
1.460000000E3,2.467029268E0
1.470000000E3,2.205755182E0
1.480000000E3,1.955349179E0
